rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.7759,0.7319,0.7,1.0,8,7,False,True
2,frame_0328.jpg,131.2,0.7526,0.8731,1.0,0.08,12,10,False,True
3,frame_0068.jpg,27.2,0.741,0.7821,0.5,1.0,9,5,False,True
4,frame_0000.jpg,0.0,0.7389,0.7177,0.6,1.0,10,6,False,True
5,frame_0073.jpg,29.2,0.719,0.7381,0.5,1.0,8,5,False,True
6,frame_0002.jpg,0.8,0.7186,0.7372,0.5,1.0,9,5,False,False
7,frame_0127.jpg,50.8,0.7127,0.8053,0.5,0.8,9,5,False,True
8,frame_0377.jpg,150.8,0.7107,0.8934,0.8,0.12,10,8,False,True
9,frame_0074.jpg,29.6,0.7058,0.7116,0.5,1.0,7,5,False,False
10,frame_0075.jpg,30.0,0.6746,0.6053,0.6,0.96,7,6,False,False
11,frame_0129.jpg,51.6,0.6688,0.7456,0.4,0.88,8,4,False,False
12,frame_0071.jpg,28.4,0.6674,0.6948,0.4,1.0,7,4,False,False
13,frame_0067.jpg,26.8,0.6584,0.6768,0.4,1.0,9,4,False,False
14,frame_0030.jpg,12.0,0.6538,0.6076,0.5,1.0,6,5,False,False
15,frame_0291.jpg,116.4,0.6465,0.597,0.6,0.84,8,6,False,True
16,frame_0293.jpg,117.2,0.6459,0.6878,0.5,0.76,6,5,False,False
17,frame_0003.jpg,1.2,0.6403,0.6406,0.4,1.0,7,4,False,False
18,frame_0033.jpg,13.2,0.6373,0.5746,0.5,1.0,8,5,False,False
19,frame_0126.jpg,50.4,0.633,0.722,0.4,0.76,8,4,False,False
20,frame_0292.jpg,116.8,0.6315,0.763,0.3,0.8,7,3,False,False
21,frame_0070.jpg,28.0,0.631,0.682,0.3,1.0,6,3,False,False
22,frame_0283.jpg,113.2,0.631,0.814,0.4,0.52,5,4,False,True
23,frame_0277.jpg,110.8,0.6293,0.8466,0.5,0.28,7,5,False,True
24,frame_0231.jpg,92.4,0.6231,0.7623,0.7,0.16,8,7,False,True
25,frame_0388.jpg,155.2,0.6218,0.7596,0.7,0.16,9,7,False,True
26,frame_0080.jpg,32.0,0.6202,0.6364,0.5,0.76,5,5,False,False
27,frame_0072.jpg,28.8,0.6177,0.6553,0.3,1.0,7,3,False,False
28,frame_0378.jpg,151.2,0.6135,0.715,0.8,0.08,10,8,False,False
29,frame_0286.jpg,114.4,0.609,0.782,0.3,0.64,6,3,False,False
30,frame_0078.jpg,31.2,0.6049,0.5738,0.5,0.84,9,5,False,False
31,frame_0169.jpg,67.6,0.6026,0.6371,0.6,0.52,8,6,False,False
32,frame_0302.jpg,120.8,0.5948,0.7896,0.4,0.4,8,4,False,False
33,frame_0086.jpg,34.4,0.5935,0.679,0.5,0.52,6,5,False,False
34,frame_0329.jpg,131.6,0.5928,0.8537,0.5,0.08,11,5,False,False
35,frame_0367.jpg,146.8,0.5926,0.9131,0.4,0.08,9,4,False,False
36,frame_0013.jpg,5.2,0.5884,0.5969,0.3,1.0,4,3,False,False
37,frame_0276.jpg,110.4,0.5882,0.8404,0.4,0.24,10,4,False,False
38,frame_0202.jpg,80.8,0.5877,0.6953,0.4,0.6,5,4,False,False
39,frame_0133.jpg,53.2,0.587,0.594,0.3,1.0,8,3,False,False
40,frame_0297.jpg,118.8,0.5862,0.6925,0.4,0.6,7,4,False,False
41,frame_0168.jpg,67.2,0.5844,0.7047,0.4,0.56,6,4,False,False
42,frame_0376.jpg,150.4,0.5767,0.9095,0.3,0.16,10,3,False,False
43,frame_0113.jpg,45.2,0.5738,0.6917,0.6,0.24,8,6,False,False
44,frame_0007.jpg,2.8,0.5719,0.5638,0.3,1.0,5,3,False,False
45,frame_0131.jpg,52.4,0.5699,0.5158,0.4,0.96,5,4,False,False
46,frame_0301.jpg,120.4,0.5685,0.661,0.5,0.44,10,5,False,False
47,frame_0016.jpg,6.4,0.5668,0.4936,0.4,1.0,6,4,False,False
48,frame_0076.jpg,30.4,0.5666,0.5252,0.4,0.92,7,4,False,False
49,frame_0275.jpg,110.0,0.5652,0.6903,0.6,0.2,7,6,False,False
